"Shipping country","Total sales"
"United States",305079.95
"Canada",4025.52
"Mexico",2536.63
"United Kingdom",2325
"Italy",1922.31
"United Arab Emirates",1768.99
"Australia",1650.43
"Saudi Arabia",1594.57
"Spain",1483.18
"Singapore",1340.05
,1229.4
"Netherlands",1167.73
"France",1065.47
"Germany",981.92
"South Korea",965.8
"Brazil",926.38
"Philippines",884.59
"Greece",725.6
"Switzerland",620.83
"Belgium",618.59
"Hong Kong",460.33
"Malaysia",454.21
"Portugal",398.85
"Ireland",397.89
"Austria",243.17
"Kuwait",215.91
"Qatar",212.61
"Sweden",206.64
"Martinique",193.74
"India",175.67
"Croatia",133.25
"New Zealand",129.22
"Poland",126.68
"Israel",118.92
"Bahrain",104.13
"Japan",0
